mapeFalse,mapeTrue,sensor,epochs,time_lag,dropout
0.37735987,0.057717584,3,50,2,0.0
0.48519647,0.065976255,3,50,2,0.1
0.40475538,0.09298197,3,50,2,0.2
0.4475062,0.06678689,3,50,2,0.3
0.54758185,0.07340271,3,50,2,0.4
0.5242753,0.07814278,3,50,2,0.5
0.349325,0.08242516,3,50,3,0.0
0.39632538,0.10109992,3,50,3,0.1
0.37950206,0.12114262,3,50,3,0.2
0.41245344,0.113973744,3,50,3,0.3
0.41936934,0.10013088,3,50,3,0.4
0.44215798,0.11338333,3,50,3,0.5
0.45221934,0.072642244,3,50,4,0.0
0.43869668,0.077150755,3,50,4,0.1
0.43981013,0.08182127,3,50,4,0.2
0.43622625,0.086311616,3,50,4,0.3
0.50425416,0.09315516,3,50,4,0.4
0.45303443,0.08394002,3,50,4,0.5
0.35246775,0.22580153,3,50,5,0.0
0.37991348,0.27436677,3,50,5,0.1
0.36936262,0.23169069,3,50,5,0.2
0.5938643,0.23539777,3,50,5,0.3
0.41228035,0.26360923,3,50,5,0.4
0.44076636,0.24874367,3,50,5,0.5
0.42981926,0.17189339,3,50,6,0.0
0.47592533,0.15649568,3,50,6,0.1
0.5523827,0.16032495,3,50,6,0.2
0.62842894,0.18066321,3,50,6,0.3
0.59984183,0.17892545,3,50,6,0.4
0.5167192,0.13803382,3,50,6,0.5
0.58427584,0.15323673,3,50,7,0.0
0.5392012,0.13623181,3,50,7,0.1
0.62876904,0.19789523,3,50,7,0.2
0.76356184,0.383935,3,50,7,0.3
0.7680744,0.1830121,3,50,7,0.4
0.5451201,0.16876106,3,50,7,0.5
0.62058485,0.117845334,3,50,8,0.0
0.71486974,0.13175714,3,50,8,0.1
0.8112133,0.109748855,3,50,8,0.2
0.9278424,0.121682025,3,50,8,0.3
0.91230196,0.1397888,3,50,8,0.4
1.4710824,0.12587324,3,50,8,0.5
0.52814835,0.12161664,3,50,9,0.0
0.6990285,0.11379907,3,50,9,0.1
0.7609064,0.119280905,3,50,9,0.2
0.72732127,0.11428175,3,50,9,0.3
0.69562817,0.11793595,3,50,9,0.4
1.2186427,0.11630376,3,50,9,0.5
0.46196836,0.19396657,3,50,10,0.0
0.50125724,0.2238701,3,50,10,0.1
0.65977305,0.21617638,3,50,10,0.2
0.5440412,0.18812658,3,50,10,0.3
0.7231193,0.2320091,3,50,10,0.4
0.9248823,0.20305821,3,50,10,0.5
0.35248077,0.042857554,3,100,2,0.0
0.42585558,0.05015353,3,100,2,0.1
0.5927331,0.054647032,3,100,2,0.2
0.5118817,0.060063854,3,100,2,0.3
0.64049256,0.07923644,3,100,2,0.4
0.6364016,0.06796654,3,100,2,0.5
0.36229202,0.06602056,3,100,3,0.0
0.42425388,0.0836085,3,100,3,0.1
0.44026437,0.08593936,3,100,3,0.2
0.4566118,0.08185559,3,100,3,0.3
0.4940777,0.09273895,3,100,3,0.4
0.500825,0.09828464,3,100,3,0.5
0.41602856,0.07787398,3,100,4,0.0
0.44325402,0.07162719,3,100,4,0.1
0.4950721,0.073218584,3,100,4,0.2
0.44858938,0.08005683,3,100,4,0.3
0.4924199,0.08089927,3,100,4,0.4
0.48083115,0.102719545,3,100,4,0.5
0.3757212,0.18349,3,100,5,0.0
0.3660316,0.22587468,3,100,5,0.1
0.39523414,0.18835604,3,100,5,0.2
0.39094266,0.21488522,3,100,5,0.3
0.45858842,0.20386288,3,100,5,0.4
0.43963274,0.24394642,3,100,5,0.5
0.4106387,0.10739074,3,100,6,0.0
0.46920216,0.15049663,3,100,6,0.1
0.49507785,0.124796584,3,100,6,0.2
0.5044929,0.17891757,3,100,6,0.3
0.5225193,0.122666195,3,100,6,0.4
0.50930524,0.15842257,3,100,6,0.5
0.5789426,0.1415228,3,100,7,0.0
0.50663954,0.20771156,3,100,7,0.1
0.61154026,0.25775465,3,100,7,0.2
0.55949295,0.22737259,3,100,7,0.3
0.7431488,0.25297472,3,100,7,0.4
0.85202706,0.34250876,3,100,7,0.5
0.65931165,0.12045701,3,100,8,0.0
0.6577887,0.12644872,3,100,8,0.1
0.66872555,0.12711906,3,100,8,0.2
0.71465206,0.17670777,3,100,8,0.3
0.7251113,0.17980027,3,100,8,0.4
0.88842374,0.12340727,3,100,8,0.5
0.55667967,0.10730374,3,100,9,0.0
0.7283031,0.11315888,3,100,9,0.1
0.7791104,0.13161361,3,100,9,0.2
0.7420917,0.12609626,3,100,9,0.3
0.7880033,0.12327857,3,100,9,0.4
0.7677316,0.13483995,3,100,9,0.5
0.5697457,0.25888786,3,100,10,0.0
0.5246276,0.20707548,3,100,10,0.1
0.4735979,0.19495332,3,100,10,0.2
0.4978109,0.22834575,3,100,10,0.3
0.570819,0.2565377,3,100,10,0.4
0.62361443,0.22151443,3,100,10,0.5
0.34663397,0.039115973,3,150,2,0.0
0.48460615,0.042242877,3,150,2,0.1
0.56094295,0.04079001,3,150,2,0.2
0.7036603,0.050518554,3,150,2,0.3
0.6984432,0.059191737,3,150,2,0.4
0.49902868,0.056421977,3,150,2,0.5
0.38926256,0.06804623,3,150,3,0.0
0.40154973,0.07070968,3,150,3,0.1
0.47614765,0.078655966,3,150,3,0.2
0.47030228,0.081503324,3,150,3,0.3
0.5917465,0.080469586,3,150,3,0.4
0.59062415,0.08637618,3,150,3,0.5
0.40046012,0.06314922,3,150,4,0.0
0.4513833,0.06624771,3,150,4,0.1
0.5254505,0.07040882,3,150,4,0.2
0.56909215,0.068758406,3,150,4,0.3
0.5101422,0.08460445,3,150,4,0.4
0.5625323,0.0822317,3,150,4,0.5
0.37118185,0.18056405,3,150,5,0.0
0.4196419,0.21051416,3,150,5,0.1
0.41276816,0.18634321,3,150,5,0.2
0.4334197,0.22539844,3,150,5,0.3
0.53269225,0.18520325,3,150,5,0.4
0.535326,0.23049487,3,150,5,0.5
0.3958966,0.104149036,3,150,6,0.0
0.4573907,0.11376487,3,150,6,0.1
0.51080626,0.11083813,3,150,6,0.2
0.5238241,0.11114318,3,150,6,0.3
0.5479052,0.13152969,3,150,6,0.4
0.58913416,0.1279045,3,150,6,0.5
0.5451761,0.1435219,3,150,7,0.0
0.6816738,0.20359613,3,150,7,0.1
0.74939984,0.18984178,3,150,7,0.2
0.6404812,0.24265738,3,150,7,0.3
0.62279564,0.2136226,3,150,7,0.4
0.8218819,0.22121704,3,150,7,0.5
0.6413562,0.107307,3,150,8,0.0
0.64363176,0.10457552,3,150,8,0.1
0.72796196,0.0992565,3,150,8,0.2
0.6927609,0.113607265,3,150,8,0.3
0.7192389,0.1387663,3,150,8,0.4
0.7046866,0.09578621,3,150,8,0.5
0.5682425,0.10696875,3,150,9,0.0
0.80150574,0.116177514,3,150,9,0.1
0.7321303,0.11414714,3,150,9,0.2
0.7326606,0.1163077,3,150,9,0.3
0.8071074,0.10886165,3,150,9,0.4
0.8908642,0.115953796,3,150,9,0.5
0.52276987,0.19170523,3,150,10,0.0
0.48372763,0.1935562,3,150,10,0.1
0.5477706,0.21249574,3,150,10,0.2
0.6235449,0.21952961,3,150,10,0.3
0.5038546,0.20247658,3,150,10,0.4
0.54636383,0.1965194,3,150,10,0.5
0.35184318,0.034089707,3,200,2,0.0
0.56860524,0.040081784,3,200,2,0.1
0.6674,0.041998506,3,200,2,0.2
0.6328166,0.042784788,3,200,2,0.3
0.6865614,0.04830592,3,200,2,0.4
0.525654,0.048084214,3,200,2,0.5
0.35883975,0.059502404,3,200,3,0.0
0.478695,0.060698673,3,200,3,0.1
0.4678083,0.06613917,3,200,3,0.2
0.538923,0.075445436,3,200,3,0.3
0.48088396,0.07276369,3,200,3,0.4
0.5064483,0.081091724,3,200,3,0.5
0.36688614,0.06451563,3,200,4,0.0
0.44412628,0.063317716,3,200,4,0.1
0.5506,0.06481631,3,200,4,0.2
0.5601619,0.078915395,3,200,4,0.3
0.5727322,0.074648656,3,200,4,0.4
0.55193895,0.071232796,3,200,4,0.5
0.36020067,0.15134247,3,200,5,0.0
0.40439057,0.20331872,3,200,5,0.1
0.4581343,0.17819539,3,200,5,0.2
0.44870323,0.1740761,3,200,5,0.3
0.5516606,0.19737753,3,200,5,0.4
0.4496522,0.22221953,3,200,5,0.5
0.4840314,0.098262385,3,200,6,0.0
0.45044485,0.103007905,3,200,6,0.1
0.58931875,0.13491213,3,200,6,0.2
0.58034796,0.10778167,3,200,6,0.3
0.57424825,0.1495733,3,200,6,0.4
0.5575667,0.11760536,3,200,6,0.5
0.56752306,0.14225349,3,200,7,0.0
0.6173767,0.15685736,3,200,7,0.1
0.6509007,0.1913391,3,200,7,0.2
0.70742327,0.24301825,3,200,7,0.3
0.85788065,0.26343817,3,200,7,0.4
0.7383337,0.17563862,3,200,7,0.5
0.6770807,0.1040207,3,200,8,0.0
